Address,City,State,Zip_code,File Date,Neighborhood,Lat_long
1800 Block of Rivera  Street,San Francisco,CA,94116,02/20/2015,Sunset/Parkside,"(37.7463853902577, -122.486134118565)"
100 Block of shakespeare  Street,San Francisco,CA,94112,02/17/2015,Outer Mission,"(37.7087561080751, -122.463263341751)"
800 Block of GREEN  Street,San Francisco,CA,94133,02/17/2015,Russian Hill,"(37.7990459207616, -122.413117906986)"
1000 Block of Sanchez  Street,San Francisco,CA,94114,02/17/2015,Noe Valley,"(37.7519624381041, -122.429764001172)"
400 Block of Collingwood  Street,San Francisco,CA,94114,02/17/2015,Noe Valley,"(37.7550991188322, -122.435493508037)"
2200 Block of Webster  Street,San Francisco,CA,94115,02/13/2015,Pacific Heights,"(37.7913511084507, -122.432718939983)"
1800 Block of 15th  Avenue,San Francisco,CA,94122,02/13/2015,Inner Sunset,"(37.753396434402, -122.471992557089)"
1000 Block of Pine  Street,San Francisco,CA,94122,02/11/2015,Nob Hill,"(37.7905137156964, -122.413080090072)"
2900 Block of Diamond  Street,San Francisco,CA,94131,02/09/2015,West of Twin Peaks,"(37.7330546401864, -122.434361047792)"
2200 Block of 39th  Avenue,San Francisco,CA,94116,02/06/2015,Sunset/Parkside,"(37.744906627564, -122.497245830987)"
500 Block of diamond  Street,San Francisco,CA,94114,02/05/2015,Noe Valley,"(37.7539452556723, -122.436632174786)"
0 Block of Ford  Street,San Francisco,CA,94114,02/05/2015,Castro/Upper Market,"(37.7619422380822, -122.431766025609)"
1000 Block of Alabama  Street,San Francisco,CA,94110,02/04/2015,Mission,"(37.7550830281455, -122.411265355447)"
700 Block of London  Street,San Francisco,CA,94112,02/03/2015,Excelsior,"(37.7175106231618, -122.439146338992)"
2600 Block of San Jose  Avenue,San Francisco,CA,94112,02/02/2015,Oceanview/Merced/Ingleside,"(37.716611151344, -122.449918138426)"
1600 Block of 25th  Avenue,San Francisco,CA,94122,02/02/2015,Sunset/Parkside,"(37.7567511436734, -122.483167036744)"
1200 Block of 16th  Avenue,San Francisco,CA,94122,01/30/2015,Inner Sunset,"(37.7646448856457, -122.474048286854)"
500 Block of 19th  Avenue,San Francisco,CA,94121,01/30/2015,Outer Richmond,"(37.77752300012, -122.478168809064)"
700 Block of San Bruno  Avenue,San Francisco,CA,94107,01/29/2015,Potrero Hill,"(37.7601429609114, -122.405103505186)"
500 Block of 38th  Avenue,San Francisco,CA,94121,01/28/2015,Outer Richmond,"(37.778489947884, -122.498662035394)"
1100 Block of Treat  Avenue,San Francisco,CA,94110,01/27/2015,Mission,"(37.7517661794586, -122.412985835399)"
1400 Block of 25th  Avenue,San Francisco,CA,94133,01/27/2015,Sunset/Parkside,"(37.7604798463061, -122.483426694195)"
500 Block of Diamond  Street,San Francisco,CA,94114,01/26/2015,Noe Valley,"(37.7539452556723, -122.436632174786)"
900 Block of CORBETT  Avenue,San Francisco,CA,94131,01/26/2015,Twin Peaks,"(37.7520708976384, -122.443411558322)"
800 Block of Brazil  Avenue,San Francisco,CA,94112,01/22/2015,Excelsior,"(37.7214931898746, -122.428002692138)"
1600 Block of 25th  Avenue,San Francisco,CA,94122,01/22/2015,Sunset/Parkside,"(37.7567511436734, -122.483167036744)"
900 Block of Somerset  Street,San Francisco,CA,94134,01/22/2015,Portola,"(37.7199401992254, -122.404844605055)"
1400 Block of 28th  Avenue,San Francisco,CA,94122,01/21/2015,Sunset/Parkside,"(37.7603440692844, -122.486506684811)"
2500 Block of Moraga  Street,San Francisco,CA,94122,01/20/2015,Sunset/Parkside,"(37.7554620604629, -122.489992696312)"
1300 Block of San Bruno  Avenue,San Francisco,CA,94110,01/20/2015,Mission,"(37.7524873070331, -122.404233503189)"
400 Block of HOFFMAN  Avenue,San Francisco,CA,94114,01/16/2015,Noe Valley,"(37.7501057021957, -122.44046832814)"
1300 Block of Balboa  Street,San Francisco,CA,94118,01/16/2015,Outer Richmond,"(37.7768732024583, -122.473138858799)"
1300 Block of Shotwell  Street,San Francisco,CA,94110,01/16/2015,Bernal Heights,"(37.7477838721234, -122.414945488648)"
200 Block of San Carlos  Street,San Francisco,CA,94110,01/15/2015,Mission,"(37.7593905432322, -122.41983909787)"
200 Block of Texas  Street,San Francisco,CA,94107,01/14/2015,Potrero Hill,"(37.7632766022278, -122.395552822883)"
1300 Block of Balboa  Street,San Francisco,CA,94118,01/14/2015,Outer Richmond,"(37.7768732024583, -122.473138858799)"
700 Block of Cole  Street,San Francisco,CA,94117,01/13/2015,Haight Ashbury,"(37.7672056683479, -122.450171757259)"
1000 Block of Guerrero  Street,San Francisco,CA,94110,01/09/2015,Mission,"(37.7543628762142, -122.423216088047)"
600 Block of Mississippi  Street,San Francisco,CA,94107,01/09/2015,Potrero Hill,"(37.7588627593412, -122.394298751245)"
1700 Block of 9th  Avenue,San Francisco,CA,94122,01/09/2015,Inner Sunset,"(37.7556426324424, -122.465795068368)"
4100 Block of Anza  Street,San Francisco,CA,94121,01/07/2015,Outer Richmond,"(37.7777435106134, -122.492627385372)"
2900 Block of Diamond  Street,San Francisco,CA,94131,01/07/2015,West of Twin Peaks,"(37.7330546401864, -122.434361047792)"
3500 Block of Pierce  Street,San Francisco,CA,94123,01/05/2015,Marina,"(37.803334641141, -122.440137829654)"
4000 Block of Mission  Street,San Francisco,CA,94112,01/02/2015,Bernal Heights,"(37.7321745849469, -122.427793514415)"
200 Block of Staples  Avenue,San Francisco,CA,94112,01/02/2015,West of Twin Peaks,"(37.7291328076001, -122.447707175751)"
100 Block of Carl  Street,San Francisco,CA,94117,01/02/2015,Haight Ashbury,"(37.7655835412574, -122.452091631457)"
200 Block of Valley  Street,San Francisco,CA,94131,01/02/2015,Noe Valley,"(37.7444850965567, -122.427858095896)"
0 Block of Fair  Avenue,San Francisco,CA,94110,12/30/2014,Bernal Heights,"(37.7452046104749, -122.419070865322)"
1400 Block of 25th  Avenue,San Francisco,CA,94122,12/29/2014,Sunset/Parkside,"(37.7604798463061, -122.483426694195)"
200 Block of Valley  Street,San Francisco,CA,94131,12/26/2014,Noe Valley,"(37.7444850965567, -122.427858095896)"
0 Block of Topeka  Avenue,San Francisco,CA,94124,12/24/2014,Bayview Hunters Point,"(37.7345854633423, -122.400177364265)"
2100 Block of 23rd  Street,San Francisco,CA,94107,12/24/2014,Potrero Hill,"(37.7546544068432, -122.401112780358)"
200 Block of Staples  Avenue,San Francisco,CA,94112,12/24/2014,West of Twin Peaks,"(37.7291328076001, -122.447707175751)"
2100 Block of BAker  Street,San Francisco,CA,94115,12/23/2014,Pacific Heights,"(37.7907758772389, -122.444320991556)"
1600 Block of Alabama  Street,San Francisco,CA,94110,12/22/2014,Bernal Heights,"(37.7459433861219, -122.410600519343)"
2300 Block of 39th  Avenue,San Francisco,CA,94116,12/22/2014,Sunset/Parkside,"(37.7430421675031, -122.497113226188)"
2000 Block of Lawton  Street,San Francisco,CA,94122,12/18/2014,Sunset/Parkside,"(37.7575581168221, -122.484766717409)"
0 Block of Baltimore  Way,San Francisco,CA,94112,12/17/2014,Excelsior,"(37.7099410457549, -122.431030442526)"
3800 Block of 26th  Street,San Francisco,CA,94131,12/10/2014,Noe Valley,"(37.7485094430604, -122.425978677926)"
0 Block of Tacoma  Street,San Francisco,CA,94118,12/10/2014,Outer Richmond,"(37.7818570669214, -122.474393946976)"
0 Block of Winfield  Street,San Francisco,CA,94110,12/10/2014,Bernal Heights,"(37.7444633784445, -122.417242687483)"
300 Block of 2nd  Avenue,San Francisco,CA,94118,12/09/2014,Inner Richmond,"(37.7821780949696, -122.459999331893)"
1200 Block of 38th  Avenue,San Francisco,CA,94122,12/09/2014,Sunset/Parkside,"(37.7636074446779, -122.497481002595)"
3600 Block of 18th  Street,San Francisco,CA,94110,12/08/2014,Mission,"(37.7615831836215, -122.424418052777)"
2300 Block of 30th  Avenue,San Francisco,CA,94116,12/04/2014,Sunset/Parkside,"(37.743462178174, -122.487610566896)"
600 Block of 9th  Avenue,San Francisco,CA,94118,12/02/2014,Inner Richmond,"(37.7761522137727, -122.467222435104)"
100 Block of Precita  Avenue,San Francisco,CA,94110,12/02/2014,Bernal Heights,"(37.7471529748646, -122.417246254252)"
600 Block of 24th  Avenue,San Francisco,CA,94121,12/02/2014,Outer Richmond,"(37.7772858152749, -122.483388670951)"
100 Block of Eureka  Street,San Francisco,CA,94114,12/01/2014,Castro/Upper Market,"(37.759896646943, -122.438119880206)"
100 Block of Clayton  Street,San Francisco,CA,94117,12/01/2014,Lone Mountain/USF,"(37.7739835495534, -122.449489915612)"
3500 Block of Pierce  Street,San Francisco,CA,94123,11/25/2014,Marina,"(37.8033520691652, -122.440001132246)"
100 Block of Taraval  Street,San Francisco,CA,94116,11/25/2014,West of Twin Peaks,"(37.7433971520199, -122.467295994125)"
2100 Block of 27th  Avenue,San Francisco,CA,94116,11/25/2014,Sunset/Parkside,"(37.7473313111311, -122.484657780749)"
600 Block of 24th  Avenue,San Francisco,CA,94121,11/24/2014,Outer Richmond,"(37.7772858152749, -122.483388670951)"
3300 Block of Divisadero  Street,San Francisco,CA,94123,11/21/2014,Marina,"(37.8004343722623, -122.443008700997)"
0 Block of Chester  Avenue,San Francisco,CA,94132,11/19/2014,Oceanview/Merced/Ingleside,"(37.7146223287888, -122.470536912964)"
0 Block of Farallones  Street,San Francisco,CA,94112,11/19/2014,Oceanview/Merced/Ingleside,"(37.7140353527958, -122.454117149493)"
100 Block of 26th  Avenue,San Francisco,CA,94121,11/18/2014,Seacliff,"(37.7866268332722, -122.486350477517)"
3600 Block of 26th  Street,San Francisco,CA,94110,11/18/2014,Mission,"(37.7488664418589, -122.421932997509)"
1200 Block of Filbert  Street,San Francisco,CA,94109,11/18/2014,Russian Hill,"(37.79997450353, -122.420050559374)"
200 Block of Silver  Avenue,San Francisco,CA,94112,11/17/2014,Outer Mission,"(37.7294754375176, -122.432892177344)"
500 Block of 5th  Avenue,San Francisco,CA,94118,11/17/2014,Inner Richmond,"(37.7782074970938, -122.463077569562)"
1400 Block of 24th  Avenue,San Francisco,CA,94122,11/14/2014,Sunset/Parkside,"(37.7605270217563, -122.482355707887)"
2300 Block of 30th  Avenue,San Francisco,CA,94116,11/14/2014,Sunset/Parkside,"(37.743462178174, -122.487610566896)"
300 Block of Arleta  Avenue,San Francisco,CA,94134,11/13/2014,Visitacion Valley,"(37.7148200896206, -122.409937792832)"
1700 Block of Buchanan  Street,San Francisco,CA,94115,11/13/2014,Japantown,"(37.7860248697584, -122.429949041039)"
0 Block of Sunview  Drive,San Francisco,CA,94131,11/12/2014,Twin Peaks,"(37.7473143357876, -122.446514645019)"
3300 Block of Mission  Street,San Francisco,CA,94110,11/10/2014,Bernal Heights,"(37.7436052437273, -122.421251086668)"
300 Block of Frederick  Street,San Francisco,CA,94117,11/07/2014,Haight Ashbury,"(37.7668851666416, -122.448532611419)"
0 Block of Ford  Street,San Francisco,CA,94114,11/07/2014,Castro/Upper Market,"(37.7619422380822, -122.431766025609)"
500 Block of Fillmore  Street,San Francisco,CA,94117,11/07/2014,Hayes Valley,"(37.7744290294321, -122.430986461512)"
1400 Block of Noe  Street,San Francisco,CA,94131,11/06/2014,Noe Valley,"(37.746233792112, -122.431299587054)"
700 Block of De Haro  Street,San Francisco,CA,94107,11/04/2014,Potrero Hill,"(37.7603674078503, -122.401206803748)"
200 Block of Harold  Avenue,San Francisco,CA,94112,11/03/2014,Oceanview/Merced/Ingleside,"(37.7226824851138, -122.453173676563)"
100 Block of Gilbert  Street,San Francisco,CA,94103,11/03/2014,South of Market,"(37.7732093618805, -122.402242908575)"
700 Block of 6th  Avenue,San Francisco,CA,94118,11/03/2014,Inner Richmond,"(37.7744933638734, -122.463881451138)"
500 Block of Joost  Avenue,San Francisco,CA,94127,10/31/2014,West of Twin Peaks,"(37.732384807423, -122.448083114908)"
1100 Block of De Haro  Street,San Francisco,CA,94107,10/30/2014,Potrero Hill,"(37.755902588353, -122.400816594514)"
2400 Block of Clay  Street,San Francisco,CA,94115,10/30/2014,Pacific Heights,"(37.7908970824909, -122.43317721537)"
2200 Block of Broadway  Street,San Francisco,CA,94115,10/29/2014,Pacific Heights,"(37.7943158331562, -122.434085882598)"
1000 Block of Stanyan  Street,San Francisco,CA,94117,10/29/2014,Haight Ashbury,"(37.7649848279441, -122.452595573793)"
700 Block of Hayes  Street,San Francisco,CA,94102,10/27/2014,Hayes Valley,"(37.7762032093948, -122.428744875404)"
1500 Block of Guerrero  Street,San Francisco,CA,94102,10/27/2014,Noe Valley,"(37.7467657467357, -122.422480185303)"
0 Block of Sharon  Street,San Francisco,CA,94114,10/23/2014,Castro/Upper Market,"(37.7652477388796, -122.429917335172)"
3900 Block of 26th  Street,San Francisco,CA,94131,10/17/2014,Noe Valley,"(37.7484838218441, -122.428239848114)"
1800 Block of Hyde  Street,San Francisco,CA,94109,10/14/2014,Russian Hill,"(37.7978079058387, -122.418697425014)"
600 Block of 34th  Avenue,San Francisco,CA,94121,10/14/2014,Outer Richmond,"(37.776790584933, -122.494240833226)"
500 Block of Day  Street,San Francisco,CA,94131,10/09/2014,Glen Park,"(37.7425190146468, -122.433760336352)"
0 Block of Naglee  Avenue,San Francisco,CA,94112,10/01/2014,Outer Mission,"(37.7118377565537, -122.446494684799)"
500 Block of Flood  Avenue,San Francisco,CA,94112,10/01/2014,West of Twin Peaks,"(37.7299242094666, -122.451788993091)"
0 Block of Oneida  Avenue,San Francisco,CA,94112,10/01/2014,Outer Mission,"(37.7206999122342, -122.439557201168)"
1800 Block of 20th  Avenue,San Francisco,CA,94122,10/01/2014,Sunset/Parkside,"(37.7532640269229, -122.477412671026)"
0 Block of Harrington  Street,San Francisco,CA,94112,09/29/2014,Outer Mission,"(37.7255699222921, -122.435385085583)"
1600 Block of Grove  Street,San Francisco,CA,94117,09/29/2014,Lone Mountain/USF,"(37.775245045336, -122.443780098566)"
600 Block of 8th  Avenue,San Francisco,CA,94118,09/26/2014,Inner Richmond,"(37.7762007890544, -122.466155279034)"
1500 Block of Guerrero  Street,San Francisco,CA,94102,09/25/2014,Noe Valley,"(37.7467657467357, -122.422480185303)"
0 Block of Miramar  Avenue,San Francisco,CA,94112,09/24/2014,Oceanview/Merced/Ingleside,"(37.7191290046189, -122.458239208654)"
600 Block of 37th  Avenue,San Francisco,CA,94121,09/22/2014,Outer Richmond,"(37.7766505634147, -122.497317538531)"
100 Block of Foote  Avenue,San Francisco,CA,94112,09/22/2014,Outer Mission,"(37.7137644373562, -122.446069543366)"
600 Block of 9th  Avenue,San Francisco,CA,94118,09/22/2014,Inner Richmond,"(37.7761584734754, -122.467084259779)"
200 Block of Saint Charles  Avenue,San Francisco,CA,94132,09/19/2014,Oceanview/Merced/Ingleside,"(37.7096281374553, -122.469210459683)"
500 Block of 5th  Avenue,San Francisco,CA,94118,09/19/2014,Inner Richmond,"(37.7782074970938, -122.463077569562)"
100 Block of Upper   Terrace,San Francisco,CA,94117,09/17/2014,Castro/Upper Market,"(37.7649937279689, -122.443951805092)"
300 Block of 2nd  Avenue,San Francisco,CA,94118,09/16/2014,Inner Richmond,"(37.7821780949696, -122.459999331893)"
600 Block of Edinburgh  Street,San Francisco,CA,94112,09/12/2014,Excelsior,"(37.718931086138, -122.433829193785)"
3600 Block of Folsom  Street,San Francisco,CA,94110,09/11/2014,Bernal Heights,"(37.7408837365482, -122.413328826588)"
2300 Block of 27th  Avenue,San Francisco,CA,94116,09/11/2014,Sunset/Parkside,"(37.7436034504115, -122.484398290433)"
3200 Block of Folsom  Street,San Francisco,CA,94110,09/10/2014,Bernal Heights,"(37.7459532029876, -122.413523168222)"
300 Block of Prague  Street,San Francisco,CA,94112,09/08/2014,Excelsior,"(37.7167681093412, -122.428753945759)"
200 Block of Allison  Street,San Francisco,CA,94112,09/05/2014,Excelsior,"(37.7117773959927, -122.441441541258)"
300 Block of 2nd  Avenue,San Francisco,CA,94118,09/05/2014,Inner Richmond,"(37.7821780949696, -122.459999331893)"
100 Block of Eugenia  Street,San Francisco,CA,94110,09/05/2014,Bernal Heights,"(37.7415131099162, -122.420547536354)"
1300 Block of 21st  Avenue,San Francisco,CA,94122,09/05/2014,Sunset/Parkside,"(37.762533615832, -122.479270418519)"
900 Block of Greenwich  Street,San Francisco,CA,94133,09/03/2014,Russian Hill,"(37.8015015067389, -122.415530627366)"
0 Block of Red Rock  Way,San Francisco,CA,94131,08/28/2014,Noe Valley,"(37.7460366753227, -122.442196632259)"
2000 Block of California  Street,San Francisco,CA,94109,08/28/2014,Pacific Heights,"(37.7896925377267, -122.428093808672)"
4500 Block of California  Street,San Francisco,CA,94118,08/25/2014,Inner Richmond,"(37.7848382441611, -122.466174480325)"
1900 Block of Eddy  Street,San Francisco,CA,94115,08/25/2014,Western Addition,"(37.7804263998552, -122.439746869235)"
1400 Block of 43rd  Avenue,San Francisco,CA,94122,08/25/2014,Sunset/Parkside,"(37.7596364115465, -122.502578266136)"
0 Block of Majestic  Avenue,San Francisco,CA,94112,08/22/2014,Oceanview/Merced/Ingleside,"(37.717699332258, -122.451373572602)"
0 Block of Harrington  Street,San Francisco,CA,94112,08/22/2014,Outer Mission,"(37.7255699222921, -122.435385085583)"
2100 Block of North Point  Street,San Francisco,CA,94123,08/21/2014,Marina,"(37.8028254899139, -122.442572769382)"
0 Block of Caine  Avenue,San Francisco,CA,94112,08/21/2014,Oceanview/Merced/Ingleside,"(37.7173223517444, -122.450447683481)"
2400 Block of 15th  Street,San Francisco,CA,94114,08/20/2014,Castro/Upper Market,"(37.7661301395924, -122.437786951304)"
2000 Block of 30th  Avenue,San Francisco,CA,94106,08/20/2014,Sunset/Parkside,"(37.7490546569362, -122.488000186503)"
2400 Block of 15th  Street,San Francisco,CA,94114,08/20/2014,Castro/Upper Market,"(37.7661301395924, -122.437786951304)"
400 Block of 21st  Avenue,San Francisco,CA,94121,08/19/2014,Outer Richmond,"(37.7793232488141, -122.480311461375)"
2600 Block of Bryant  Street,San Francisco,CA,94110,08/19/2014,Mission,"(37.7520023376127, -122.408984897916)"
300 Block of Jules  Avenue,San Francisco,CA,94112,08/18/2014,Oceanview/Merced/Ingleside,"(37.7242985681123, -122.461322676175)"
700 Block of Delano  Avenue,San Francisco,CA,94112,08/18/2014,Outer Mission,"(37.7191456790018, -122.445634921102)"
1400 Block of Sanchez  Street,San Francisco,CA,94131,08/18/2014,Noe Valley,"(37.745558361188, -122.429145411329)"
2500 Block of 25th  Avenue,San Francisco,CA,94116,08/15/2014,Sunset/Parkside,"(37.7399677616043, -122.481993144975)"
600 Block of Visitacion  Avenue,San Francisco,CA,94134,08/14/2014,Visitacion Valley,"(37.710871828783, -122.405674017379)"
100 Block of Haight  Street,San Francisco,CA,94102,08/13/2014,Hayes Valley,"(37.7727916202374, -122.424624269959)"
4400 Block of Balboa  Street,San Francisco,CA,94121,08/11/2014,Outer Richmond,"(37.7752442169008, -122.506416834659)"
3100 Block of Balboa  Street,San Francisco,CA,94121,08/11/2014,Outer Richmond,"(37.7758804627967, -122.492497863736)"
500 Block of Arkansas  Street,San Francisco,CA,94107,08/07/2014,Potrero Hill,"(37.7586299059346, -122.398161935438)"
200 Block of Jules  Avenue,San Francisco,CA,94112,08/07/2014,Oceanview/Merced/Ingleside,"(37.7227369845422, -122.461177238719)"
2100 Block of Great  Highway,San Francisco,CA,94116,08/07/2014,Sunset/Parkside,"(37.7463258767662, -122.507499984699)"
800 Block of Green  Street,San Francisco,CA,94133,08/06/2014,Russian Hill,"(37.7990459207616, -122.413117906986)"
900 Block of Portola  Drive,San Francisco,CA,94127,08/04/2014,West of Twin Peaks,"(37.7423500419226, -122.455819822257)"
600 Block of Diamond  Street,San Francisco,CA,94114,08/04/2014,Noe Valley,"(37.7523641675143, -122.436346592935)"
200 Block of Anza  Street,San Francisco,CA,94118,08/04/2014,Lone Mountain/USF,"(37.7809036077073, -122.449057766391)"
0 Block of Paulding  Street,San Francisco,CA,94112,08/01/2014,Outer Mission,"(37.7280145106232, -122.442294849984)"
1900 Block of 23rd  Avenue,San Francisco,CA,94116,08/01/2014,Sunset/Parkside,"(37.7512511848096, -122.480632582503)"
1400 Block of Grove  Street,San Francisco,CA,94117,08/01/2014,Hayes Valley,"(37.775663377223, -122.440489225361)"
700 Block of 6th  Avenue,San Francisco,CA,94118,08/01/2014,Inner Richmond,"(37.7744933638734, -122.463881451138)"
100 Block of University  Street,San Francisco,CA,94134,07/31/2014,Portola,"(37.7280743817279, -122.414642387344)"
1800 Block of 31st  Avenue,San Francisco,CA,94122,07/29/2014,Sunset/Parkside,"(37.752737497387, -122.489327711372)"
600 Block of Clayton  Street,San Francisco,CA,94117,07/28/2014,Haight Ashbury,"(37.7693225160278, -122.448552564376)"
600 Block of Moscow  Street,San Francisco,CA,94112,07/24/2014,Excelsior,"(37.7173988817166, -122.430625202274)"
400 Block of Excelsior  Avenue,San Francisco,CA,94112,07/24/2014,Excelsior,"(37.7245813285304, -122.43001703052)"
500 Block of 19th  Avenue,San Francisco,CA,94121,07/18/2014,Outer Richmond,"(37.7775292138334, -122.478030627894)"
1100 Block of Potrero  Avenue,San Francisco,CA,94110,07/18/2014,Mission,"(37.7544148451285, -122.406597299828)"
4100 Block of 20th  Street,San Francisco,CA,94114,07/16/2014,Castro/Upper Market,"(37.7577322522948, -122.433032371499)"
1500 Block of Quesada  Avenue,San Francisco,CA,94124,07/16/2014,Bayview Hunters Point,"(37.7318056241311, -122.388624875855)"
